# Track glossary for Gemini/ne-general — auto-loaded by gm_translate.py.
# (1) proper names pinned for the ne baseline; (2) the locked Nepali word list, verse-scoped
#     (0-INBOX/AI_translation/keyword-extraction-dharmamitra/ne/, built by keyword-standardize).
ཨོ་རྒྱན	उड्डियान
ཨུ་རྒྱན	उड्डियान
པདྨ་འབྱུང་གནས	पद्मसम्भव
གུ་རུ་རིན་པོ་ཆེ	गुरु रिन्पोछे
ཐོད་ཕྲེང་རྩལ	थोत्रेङ त्सल
ཚེ་དཔག་མེད	अमितायु
འོད་དཔག་མེད	अमिताभ
སྤྱན་རས་གཟིགས	अवलोकितेश्वर
འཇམ་དཔལ་དབྱངས	मञ्जुश्री
འཇམ་དཔལ	मञ्जुश्री
སྒྲོལ་མ	तारा
ཕྱག་ན་རྡོ་རྗེ	वज्रपाणि
ཤཱཀྱ་ཐུབ་པ	शाक्यमुनि
རྡོ་རྗེ་འཆང	वज्रधर
རྡོ་རྗེ་སེམས་དཔའ	वज्रसत्त्व
ཀུན་ཏུ་བཟང་པོ	समन्तभद्र
བྱམས་པ	मैत्रेय
རྟ་མགྲིན	हयग्रीव
ཙོང་ཁ་པ	त्सोङ्खापा
བློ་བཟང་གྲགས་པ	लोब्साङ द्राक्पा
མི་ལ་རས་པ	मिलारेपा
ཡེ་ཤེས་མཚོ་རྒྱལ	येशे छोग्याल
ཆེ་མཆོག	महोत्तर हेरुक
དགའ་རབ་རྡོ་རྗེ	गारब दोर्जे
ཤཱནྟ་རཀྵི་ཏ	शान्तरक्षित
ཞི་བ་འཚོ	शान्तरक्षित
ཁྲི་སྲོང་ལྡེའུ་བཙན	त्रिसोङ देत्सेन
ཁྲི་སྲོང་ལྡེ་བཙན	त्रिसोङ देत्सेन
བི་མ་ལ་མི་ཏྲ	विमलमित्र
ཀློང་ཆེན	लोङ्छेनपा
ཨ་ཏི་ཤ	अतिश
བསམ་ཡས	साम्ये
ཟངས་མདོག་དཔལ་རི	जाङ्दोक पाल्री
ཛམྦུ་གླིང	जम्बुद्वीप
བོད་ཡུལ	तिब्बत
བོད	तिब्बत
ཐོད་འཕྲེང་རྩལ	थोत्रेङ त्सल
ཨེ་མ་ཧོ	एमाहो
ཡི་གེ་ཧཱུཾ	हूँ अक्षर	1-14,1-11
ཡི་གེ་ཧཱུྃ	हूँ अक्षर	1-14,1-11
བཅོམ་ལྡན་འདས་མ་སྒྲོལ་མ	भगवती तारा	a-1
གནོད་སྦྱིན	यक्ष	1-6,1-21
ཡི་གེ	अक्षर	1-5
གློག	बिजुली	1-1
འོད	प्रकाश	1-2,1-12,1-10,1-20,1-9
ཏུ་རེ	तुरे	1-21,1-17,1-8
ཚོགས	समूह	1-21,1-6,1-19,1-11
འཇོམས	नष्ट	1-7,1-15,1-21,1-13
འབར	प्रज्वलित	1-7,1-2,1-13
ཡང་དག	पूर्ण रूपले	1-21,1-15,a-1
ཡང་དག་པར	पूर्ण रूपले	1-21,1-15,a-1
འཇིག་རྟེན	लोक	1-5,1-1,1-17
བསྟོད་པ་དངོས	मूल स्तुति	1-0
ཆེ་བ	महा	1-15,1-8,2-3
ཆེན་པོ	महा	1-15,1-8,2-3
ཆེན་མོ	महा	1-15,1-8,2-3
རབ	परम	1-10
ཡང་དག་ལྡན	पूर्ण रूपले युक्त	1-21,1-15
ཟླ་བ	चन्द्र	1-2,1-12,1-20,1-18
རི་དགས་རྟགས་ཅན	चन्द्र	1-2,1-12,1-20,1-18
མ་ལུས	अशेष	1-8,1-4
ཞལ	मुख	1-2,1-1,1-8
ཕཊ	फट्	1-7,1-18
ཕཊ་ཀྱི་ཡི་གེ	फट्	1-7,1-18
ཆུ་སྐྱེས	कमल	1-3,1-1,1-8
པདྨ	कमल	1-3,1-1,1-8
མནན	कुल्च	1-7,1-5
དབང	वश	1-10
དབང	अभिषेक	2-3
ནུས	समर्थ	1-11
མཐུ	शक्ति	1-21
ཞབས	चरण	1-5,1-17,1-14
འབྱུང་པོ	भूत	1-6
གདོན	ग्रह	1-21,2-5
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས	सम्यक्सम्बुद्ध	a-1
ལྡན	युक्त	1-21,1-15,2-1
དགའ	आनन्द	1-10,1-16,1-13,1-19
དགའ་བ	आनन्द	1-10,1-16,1-13,1-19
བསྐོར་དགས	आनन्द	1-10,1-16,1-13,1-19
ཞི	शान्ति	1-3,1-15,1-21
ཞི་བ	शान्ति	1-3,1-15,1-21
ཡི་གེ་བཅུ་པའི་ངག	मन्त्र	1-22,1-16
སྔགས	मन्त्र	1-22,1-16
ཕན་ཡོན	लाभ	I-2,2-0
ཏུ་ཏྟྭ་ར	तुत्तारे	1-5,1-10,1-20
ཏུཏྟྭ་ར	तुत्तारे	1-5,1-10,1-20
བཅོམ་ལྡན་འདས་མ	भगवती	a-1
ལྷ་མོ	देवी	2-1
ཏྲད	त्रट्	1-7
རྗེ་བཙུན་མ་འཕགས་མ	भट्टारिका आर्या	I-3
ཆུ་སྐྱེས་ཞལ	कमल मुख	1-8
རོ་ལངས	वेताल	1-21,1-6
ཨོཾ	ॐ	I-3,1-15
སྭཱ་ཧཱ	स्वाहा	1-15
ཧ་ར	हर	1-20
ཏཱ་ར	तारे	1-18
