approve	line	number	col	attached_to	context
Y	38	1894	95	91(0)	P.O.UpperBhattuvaiBaijnath Distt,Kangra176125H.P.India Phone:91(0)1894-263013/262955 Fax: 91(0)1894-262234/263757 ^0-9
Y	38	263757	107	91(0)1894-262234/	P.O.UpperBhattuvaiBaijnath Distt,Kangra176125H.P.India Phone:91(0)1894-263013/262955 Fax: 91(0)1894-262234/263757 ^0-9
Y	40	2008	53	Copyright©	webwww.palpung.org Emailcontac@palpung.org Copyright©2008PalpungSungrabPartrunKhang. ^0-10
Y	50	༢༥༤༢	38	ནང་ལོ་	ཀརྨ་པ་ཨོ་རྒྱན་ཕྲིན་ལས་རྡོ་རྗེས། ནང་ལོ་༢༥༤༢ཕྱི་ལོ་༢༠༠༨ཟླ ༣ཚེས་༢༧ཉིན། ^0-15
Y	50	༢༠༠༨	49	ནང་ལོ་༢༥༤༢ཕྱི་ལོ་	ཀརྨ་པ་ཨོ་རྒྱན་ཕྲིན་ལས་རྡོ་རྗེས། ནང་ལོ་༢༥༤༢ཕྱི་ལོ་༢༠༠༨ཟླ ༣ཚེས་༢༧ཉིན། ^0-15
Y	50	༢༧	61	༣ཚེས་	ཀརྨ་པ་ཨོ་རྒྱན་ཕྲིན་ལས་རྡོ་རྗེས། ནང་ལོ་༢༥༤༢ཕྱི་ལོ་༢༠༠༨ཟླ ༣ཚེས་༢༧ཉིན། ^0-15
Y	56	༢༠༠༨	169	ཕྱི་ལོ་	ཡོངས་ཀྱི་འཕྲལ་ཡུན་ཕན་བདེ་སྤེལ་བའི་ལམ་སྟོན་བཟང་པོའི་ཆ་རྐྱེན་དུ་འགྱུར་ བའི་མཆོག་གསུམ་གསོལ་འདེབས་བཅས འཕགས་ཡུལ་གདན་ས་དཔལ་སྤུངས་ཤེས་རབ་གླིང་ནས། ཀྭན་ཏིང་ཏཱའི་སི་ཏུ་པས། ཕྱི་ལོ་༢༠༠༨ ཟླ་༠༧ ཚེས་༢༥ཉིན་སྤེལ་བ་དགེ་ལེགས་འཕེལ ^0-18
Y	56	༠༧	177	ཟླ་	ཡོངས་ཀྱི་འཕྲལ་ཡུན་ཕན་བདེ་སྤེལ་བའི་ལམ་སྟོན་བཟང་པོའི་ཆ་རྐྱེན་དུ་འགྱུར་ བའི་མཆོག་གསུམ་གསོལ་འདེབས་བཅས འཕགས་ཡུལ་གདན་ས་དཔལ་སྤུངས་ཤེས་རབ་གླིང་ནས། ཀྭན་ཏིང་ཏཱའི་སི་ཏུ་པས། ཕྱི་ལོ་༢༠༠༨ ཟླ་༠༧ ཚེས་༢༥ཉིན་སྤེལ་བ་དགེ་ལེགས་འཕེལ ^0-18
Y	56	༢༥	184	ཚེས་	ཡོངས་ཀྱི་འཕྲལ་ཡུན་ཕན་བདེ་སྤེལ་བའི་ལམ་སྟོན་བཟང་པོའི་ཆ་རྐྱེན་དུ་འགྱུར་ བའི་མཆོག་གསུམ་གསོལ་འདེབས་བཅས འཕགས་ཡུལ་གདན་ས་དཔལ་སྤུངས་ཤེས་རབ་གླིང་ནས། ཀྭན་ཏིང་ཏཱའི་སི་ཏུ་པས། ཕྱི་ལོ་༢༠༠༨ ཟླ་༠༧ ཚེས་༢༥ཉིན་སྤེལ་བ་དགེ་ལེགས་འཕེལ ^0-18
Y	58	01894	119	Tel.No.(	"SHERABLING" INSTITUTEOFBUDDHISTSTUDIES P.O.UpperBhattuViaBaijnath-176125,DistrictKangra,HimachalPradesh,India Tel.No.(01894)63758,63013,63757 Fax62234 ^0-19
Y	58	63758	125	Tel.No.(01894)	"SHERABLING" INSTITUTEOFBUDDHISTSTUDIES P.O.UpperBhattuViaBaijnath-176125,DistrictKangra,HimachalPradesh,India Tel.No.(01894)63758,63013,63757 Fax62234 ^0-19
Y	58	63013	131	Tel.No.(01894)63758,	"SHERABLING" INSTITUTEOFBUDDHISTSTUDIES P.O.UpperBhattuViaBaijnath-176125,DistrictKangra,HimachalPradesh,India Tel.No.(01894)63758,63013,63757 Fax62234 ^0-19
Y	58	63757	137	Tel.No.(01894)63758,63013,	"SHERABLING" INSTITUTEOFBUDDHISTSTUDIES P.O.UpperBhattuViaBaijnath-176125,DistrictKangra,HimachalPradesh,India Tel.No.(01894)63758,63013,63757 Fax62234 ^0-19
Y	58	62234	146	Fax	"SHERABLING" INSTITUTEOFBUDDHISTSTUDIES P.O.UpperBhattuViaBaijnath-176125,DistrictKangra,HimachalPradesh,India Tel.No.(01894)63758,63013,63757 Fax62234 ^0-19
Y	1434	༨	113	མ་	མཆོག་སྤྱི་ལ་ཕྱག་མཆོད་འབུལ་བ་། ཕྱོགས་བཅུ་དུས་བཞིའི་བླ་མ་རྒྱལ་བ་ སྲས་དང་བཅས་པ་ཐམས་ཅད་མདུན་གྱི་ནམ་མཁར་བཛྲ་ས་མཱ་ཛཿ མ་༨ས་སེམས་ཅན་ཀུན་གྱི་མགོན་གྱུར་ཅིང་། །བདུད་སྡེ་དཔུང་ ^0-622
Y	1646	༡༧	242	བོད་རབ་བྱུང་	བསྟན་ཆོས་འཁོར་གླིང་གི་སྤར་ཁང་དམ་ཆོས་བང་མཛོད་དུ་བཞུགས་པའི་དཔེ་ཆ་ཡོངས་རྫོགས་ པར་བསྐྲུན་བྱེད་པའི་སྐབས་སྤར་བྱང་སྨོན་ཚིག་ཏུ་འཕགས་ཡུལ་གདན་ས་དཔལ་སྤུངས་ཤེས་ རབ་རྣམ་པར་རྒྱལ་བའི་གླིང་གི་བྱང་ཆུབ་ཆེན་པོའི་གཙུག་ལག་ཁང་དུ་ཀྭན་ཏིང་ཏཱའི་སི་ཏུ་པས་ བོད་རབ་བྱུང་༡༧ པའི་ཤིང་བྱ་ཟླ་༥ཚེས་༤ ཡེ་ལོ་༢༠༠༥ ཟླ་༧ཚེས་༡༠ཉིན་ཤར་ ^0-724
Y	1646	༥	259	པའི་ཤིང་བྱ་ཟླ་	བསྟན་ཆོས་འཁོར་གླིང་གི་སྤར་ཁང་དམ་ཆོས་བང་མཛོད་དུ་བཞུགས་པའི་དཔེ་ཆ་ཡོངས་རྫོགས་ པར་བསྐྲུན་བྱེད་པའི་སྐབས་སྤར་བྱང་སྨོན་ཚིག་ཏུ་འཕགས་ཡུལ་གདན་ས་དཔལ་སྤུངས་ཤེས་ རབ་རྣམ་པར་རྒྱལ་བའི་གླིང་གི་བྱང་ཆུབ་ཆེན་པོའི་གཙུག་ལག་ཁང་དུ་ཀྭན་ཏིང་ཏཱའི་སི་ཏུ་པས་ བོད་རབ་བྱུང་༡༧ པའི་ཤིང་བྱ་ཟླ་༥ཚེས་༤ ཡེ་ལོ་༢༠༠༥ ཟླ་༧ཚེས་༡༠ཉིན་ཤར་ ^0-724
Y	1646	༤	264	པའི་ཤིང་བྱ་ཟླ་༥ཚེས་	བསྟན་ཆོས་འཁོར་གླིང་གི་སྤར་ཁང་དམ་ཆོས་བང་མཛོད་དུ་བཞུགས་པའི་དཔེ་ཆ་ཡོངས་རྫོགས་ པར་བསྐྲུན་བྱེད་པའི་སྐབས་སྤར་བྱང་སྨོན་ཚིག་ཏུ་འཕགས་ཡུལ་གདན་ས་དཔལ་སྤུངས་ཤེས་ རབ་རྣམ་པར་རྒྱལ་བའི་གླིང་གི་བྱང་ཆུབ་ཆེན་པོའི་གཙུག་ལག་ཁང་དུ་ཀྭན་ཏིང་ཏཱའི་སི་ཏུ་པས་ བོད་རབ་བྱུང་༡༧ པའི་ཤིང་བྱ་ཟླ་༥ཚེས་༤ ཡེ་ལོ་༢༠༠༥ ཟླ་༧ཚེས་༡༠ཉིན་ཤར་ ^0-724
Y	1646	༢༠༠༥	272	ཡེ་ལོ་	བསྟན་ཆོས་འཁོར་གླིང་གི་སྤར་ཁང་དམ་ཆོས་བང་མཛོད་དུ་བཞུགས་པའི་དཔེ་ཆ་ཡོངས་རྫོགས་ པར་བསྐྲུན་བྱེད་པའི་སྐབས་སྤར་བྱང་སྨོན་ཚིག་ཏུ་འཕགས་ཡུལ་གདན་ས་དཔལ་སྤུངས་ཤེས་ རབ་རྣམ་པར་རྒྱལ་བའི་གླིང་གི་བྱང་ཆུབ་ཆེན་པོའི་གཙུག་ལག་ཁང་དུ་ཀྭན་ཏིང་ཏཱའི་སི་ཏུ་པས་ བོད་རབ་བྱུང་༡༧ པའི་ཤིང་བྱ་ཟླ་༥ཚེས་༤ ཡེ་ལོ་༢༠༠༥ ཟླ་༧ཚེས་༡༠ཉིན་ཤར་ ^0-724
Y	1646	༧	280	ཟླ་	བསྟན་ཆོས་འཁོར་གླིང་གི་སྤར་ཁང་དམ་ཆོས་བང་མཛོད་དུ་བཞུགས་པའི་དཔེ་ཆ་ཡོངས་རྫོགས་ པར་བསྐྲུན་བྱེད་པའི་སྐབས་སྤར་བྱང་སྨོན་ཚིག་ཏུ་འཕགས་ཡུལ་གདན་ས་དཔལ་སྤུངས་ཤེས་ རབ་རྣམ་པར་རྒྱལ་བའི་གླིང་གི་བྱང་ཆུབ་ཆེན་པོའི་གཙུག་ལག་ཁང་དུ་ཀྭན་ཏིང་ཏཱའི་སི་ཏུ་པས་ བོད་རབ་བྱུང་༡༧ པའི་ཤིང་བྱ་ཟླ་༥ཚེས་༤ ཡེ་ལོ་༢༠༠༥ ཟླ་༧ཚེས་༡༠ཉིན་ཤར་ ^0-724
Y	1646	༡༠	285	ཟླ་༧ཚེས་	བསྟན་ཆོས་འཁོར་གླིང་གི་སྤར་ཁང་དམ་ཆོས་བང་མཛོད་དུ་བཞུགས་པའི་དཔེ་ཆ་ཡོངས་རྫོགས་ པར་བསྐྲུན་བྱེད་པའི་སྐབས་སྤར་བྱང་སྨོན་ཚིག་ཏུ་འཕགས་ཡུལ་གདན་ས་དཔལ་སྤུངས་ཤེས་ རབ་རྣམ་པར་རྒྱལ་བའི་གླིང་གི་བྱང་ཆུབ་ཆེན་པོའི་གཙུག་ལག་ཁང་དུ་ཀྭན་ཏིང་ཏཱའི་སི་ཏུ་པས་ བོད་རབ་བྱུང་༡༧ པའི་ཤིང་བྱ་ཟླ་༥ཚེས་༤ ཡེ་ལོ་༢༠༠༥ ཟླ་༧ཚེས་༡༠ཉིན་ཤར་ ^0-724
