approve	line	number	col	attached_to	context
Y	249	17	3	16,	16,17གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ལྟར་ན། ཏྲཊ་ཅེས་དྲལ་བ་དང་། ཕཊ་ཅེས་གཅོད་པའམ་འགས་པས། ལས་དང་ཉོན་མོངས་པའི་རྣམ་རྟོག་གི་འཁྲུལ་འཁོར་དུས་སྦྱོར་བཅུ་གཉིས་ཀྱི་རླུང་སོགས་དབུ་མའི་དབྱིངས་སུ་འགགས་པ་དང་། གཡས་ཀྱི་རྩ་རོ་མ་བསྐུམ་པ་ཁ་སྟེང་དུ་བལྟ་བ་དང་།  གཡོན་གྱི་རྩ་རྐྱང་མ་ནི་བརྐྱངས་བ་སྟེ་ཁ་འོག་ཏུ་བལྟ་བ་ཡིན་ལ། ^0-79
Y	255	17	3	16,	16,17 བཞི་པ་མཐར་ཐུག་མཚན་མེད་རྫོགས་རིམ་ནི། ཏྲཊ་ཅེས་བྱ་བ་དང་ཕཊ་ཅེས་བྱ་བའི་སྒྲས་འཁོར་འདས་གཟུང་འཛིན་རེ་དོགས་སོགས་གཉིས་འཛིན་གང་ཤར་རང་གྲོལ་མཁའ་ལ་སྤྲིན་ཚོགས་དེངས་པ་ལྟར་ཆོས་ཉིད་རིག་སྟོང་ཟང་ཐལ་རྗེན་པར་བུད་པའི་ཚེ་ན། འཁོར་འདས་བཟང་ངན་སྡུག་བསྔལ་བདེ་བ་སོགས་ཀྱི་གཟུང་འཛིན་རེ་དོགས་ཐམས་ཅད། དྲལ་ཞིང་འགས་པར་བྱེད་ཅིང་།  ^0-81
Y	275	19	3	18,	18,19,29 གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། པདྨ་དང་ཟླ་བའི་གདན་གྱི་སྟེང་དུ། རྗེ་བཙུན་འཕགས་མ་གཞན་མི་རྒྱལ་བའི་དཔའ་མོ་སྐུ་མདོག་དམར་ནག། ཞབས་གཉིས་རྟ་འབབས་སྐྱིལ་ཀྲུང་། ཞལ་གཅིག་ཕྱག་གཉིས། གཡས་མཆོག་སྦྱིན་དང་། གཡོན་དཀོན་མཆོག་གསུམ་མཚོན་ཕྱག་རྒྱའི་སྙན་ཐད་ཨུཏྤལ་ཁ་ཕྱེ་བའི་སྟེང་། རྡོ་རྗེ་མེ་འབར་བ་ཚྭ་ཚྭ་ཅན་ལས་ཚ་ཞིང་རྩུབ་པའི་འོད་ཟེར་གྱིས་ཉོན་མོངས་བདུད་དགྲ་གཞན་གྱི་མཚངས་འདྲུ་བ་དང་དགྲ་གྱོད་སོགས་ལྷག་མ་མེད་པར་བསྲེགས་གཏོར་བཤིག་པར་བསམ་ལ་ཏུ་རེའི་རིག་སྔགས་བཟླའོ། ཞེས་སོ།  ^0-88
Y	275	29	6	18,19,	18,19,29 གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། པདྨ་དང་ཟླ་བའི་གདན་གྱི་སྟེང་དུ། རྗེ་བཙུན་འཕགས་མ་གཞན་མི་རྒྱལ་བའི་དཔའ་མོ་སྐུ་མདོག་དམར་ནག། ཞབས་གཉིས་རྟ་འབབས་སྐྱིལ་ཀྲུང་། ཞལ་གཅིག་ཕྱག་གཉིས། གཡས་མཆོག་སྦྱིན་དང་། གཡོན་དཀོན་མཆོག་གསུམ་མཚོན་ཕྱག་རྒྱའི་སྙན་ཐད་ཨུཏྤལ་ཁ་ཕྱེ་བའི་སྟེང་། རྡོ་རྗེ་མེ་འབར་བ་ཚྭ་ཚྭ་ཅན་ལས་ཚ་ཞིང་རྩུབ་པའི་འོད་ཟེར་གྱིས་ཉོན་མོངས་བདུད་དགྲ་གཞན་གྱི་མཚངས་འདྲུ་བ་དང་དགྲ་གྱོད་སོགས་ལྷག་མ་མེད་པར་བསྲེགས་གཏོར་བཤིག་པར་བསམ་ལ་ཏུ་རེའི་རིག་སྔགས་བཟླའོ། ཞེས་སོ།  ^0-88
Y	285	20	3	19,	19,20 བཞི་པ་མཐར་ཐུག་མཚན་མེད་རྫོགས་རིམ་ལྟར་ན། བདུད་ཀྱི་དཔའ་བོ་རྣམ་པར་འཇོམས་མ་དང་། ཆུ་སྐྱེས་ཞལ་ནི་གཉེར་ལྡན་མཛད་དང་། དགྲ་ཐམས་ཅད་མ་ལུས་གསོད་མ་ནི། ཕྱི་རུ་དབུགས་སྲང་ཆུ་ཚོད་འཕོ་བཅས་མཚན་རྟོག་ཐམས་ཅད་དོན་དམ་ཡེ་ཤེས་ཀྱི་རླུང་ངམ་སྲོག་ཆེན་པོ་སྟེ།  ^0-91
Y	315	22	3	21,	21,22  གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ལྟར་ན། དཀོན་མཆོག་གསུམ་མཚོན་ནི་ཁུ་རྡུལ་རླུང་གསུམ་སྟེ། སོར་མོ་ནི་དེ་གསུམ་གཅིག་ཏུ་འདུས་པའི་ཕྱག་རྒྱ། ཐུགས་ཀར་ནི་དེ་རྣམས་རྩ་འཁོར་སོ་སོའི་ཐུགས་དབུས་ཀྱི་ལྟེ་བར་རོ། བརྒྱན་མ་ནི་ཡོངས་སུ་བཅིངས་ཞིང་འཛིན་པ། རང་གི་འོད་ཀྱི་ཚོགས་རྣམས་འཁྲུགས་མ་ནི། ཡེ་ཤེས་ཀྱི་སྐུ་དོན་གྱི་གཏུམ་མོའི་འོད་ཟེར་གྱིས་བདེ་སྟོང་ལྷན་ཅིག་སྐྱེས་པའི་ཡེ་ཤེས་འོད་བརྒྱའི་ཉམས་རྟོགས་ནང་ནས་འཁྲུགས་ཤིང་འབར་བའོ། ཞེས་སོ།  ^0-102
Y	319	22	3	21,	21,22 བཞི་པ་མཐར་ཐུག་རྫོགས་རིམ་མཚན་མེད་ལྟར་ན། ཡེ་ནས་སྒོ་གསུམ་སྣང་གྲགས་རིག་གསུམ་རྡོ་རྗེ་གསུམ་གྱི་ངོ་བོ་དཀོན་མཆོག་གསུམ་མཚོན་ངོ་བོར་སད་པས། རྩ་བ་དང་ཉེ་བའི་ཉོན་མོངས་རྣམས་ཀྱི་དངོས་རྒྱུ་འཇིག་ལྟ་ངར་འཛིན་ལྷན་སྐྱེས་འཇིག་ཚོགས་ལ་ལྟ་བ་རིའི་རྩེ་མོ་ཉི་ཤུ་མཐོ་བ་རྣམས་རང་རིག་འོད་གསལ་ཡེ་ཤེས་རྡོ་རྗེས་བཅོམ་པས་སྲིད་གསུམ་ངང་རྫོགས་ཆེན་པོར་ཀུན་ཏུ་བཟང་མོའི་ཀློང་དུ་སངས་རྒྱས་པའོ། ཞེས་སོ།  ^0-103
Y	341	24	3	23,	23,24 གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ནི། རབ་ཏུ་དགའ་བ་ལྷན་ཅིག་སྐྱེས་པའི་གཟི་བརྗིད་ཀྱི་འོད་ཟེར་གྱིས་དབུ་ལ་བརྒྱན་པ་ནི། སྤྱི་བོར་མས་བརྟན་པའི་ལྷན་སྐྱེས་ཀྱི་བདེ་བ་སྟེ། བཞད་པ་རབ་བཞད་ཀྱང་འཁོར་ལོ་བཞི་ལ་ཐིག་ལེ་དབབ་བཟུང་ལྡོག་དགྲམ་སྟེ་ལུགས་འབྱུང་ལྡོག་བརྒྱད་ཀྱི་ཐིག་ལེ་ནི་བཞད་པ་བརྒྱད་ལྡན་ནོ། ཏུཏྟཱ་ར་ནི་གདུང་བ་སྟེ་གཏུམ་མོའི་མེ་དཔུང་ཆེས་ཆེར་རྣོ་བས་གདུང་བའོ བདུད་ནི་ཆགས་རྟོག་རང་ག་མ་སྟེ། འཇིག་རྟེན་ནི་ཐ་མལ་པའི་སྲེད་ཚོར་ཟག་བཅས་ལུས་ངག་ཡིད་གསུམ་ཟག་མེད་བདེ་ཆེན་ཡེ་ཤེས་ཀློང་དུ་དབང་དུ་བྱེད་པ་བདེ་སྟོང་ཙཎྜ་ལཱིའི་རྗེ་བཙུན་མའོ། ཞེས་སོ།  ^0-110
Y	345	24	3	23,	23,24 བཞི་པ་མཐར་ཐུག་རྫོགས་རིམ་མཚན་མེད་ལྟར་ན། རིག་པ་རང་བྱུང་གི་ཡེ་ཤེས་གོ་མྱོང་རྟོགས་པའི་རྩ་ལ་ཆེན་རྒྱས་པ་ན། རང་གི་སྣང་བ་ཐམས་ཅད་དབང་དུ་འདུས་ལ་གཟུང་འཛིན་འཁྲུལ་སྣང་ཐམས་ཅད་ཟིལ་གྱིས་གནོན་ལ། རང་སྣང་དབང་དུ་འདུས་ན་གཞན་འཇིག་རྟེན་གསུམ་གྱི་སྣང་སྲིད་ཐམས་ཅད་རང་རིག་ཐིག་ལེ་ཉག་གཅིག་གི་ཀློང་དུ་འུབ་ཆུབ་པས་སྲིད་གསུམ་ཟིལ་གྱིས་གནོན་ལ་དབང་དུ་སྡུད་ཅིང་འཇིག་རྟེན་གསུམ་ལས་རྣམ་པར་རྒྱལ་བ་ཡིན་ནོ། ཞེས་སོ།  ^0-111
Y	361	26	3	25,	25,26 གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། པདྨ་དང་ཟླ་བའི་གདན་གྱི་སྟེང་དུ་ནོར་སྟེར་རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་ནི། སྐུ་མདོག་དམར་སེར་བརྗིད་ཅིང་ཆགས་པའི་ཞི་མ་ཁྲོ། ཞབས་གཉིས་རྟ་འབབས་སྐྱིལ་ཀྲུང་། ཞལ་གཅིག་ཕྱག་གཉིས། ཕྱག་གཡས་མཆོག་སྦྱིན་དང་། གཡོན་པས་སྙན་ཐད་ཨུཏྤལ་འདབ་རྒྱས་ཟེའུའི་འབྲུའི་སྟེང་ན།  ^0-116
Y	367	26	4	25,	 25,26 གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ནི། ས་གཞི་སྐྱོང་བ་ས་འོག་གི་སྒྲས་རྡུལ་གྱི་དྭངས་མ་གཙུག་ཏོར་ནས་ནོར་བུའི་བར་དུ་བརྟན་པའི་ཚུལ་གྱིས་འགུགས་པ་དང་།  ཁྲོ་གཉེར་གཡོ་བ་དང་ཧཱུྃ་གི་སྒྲས། རི་བོང་ཅན་གྱི་དྭངས་མ། ཁྲོ་གཉེར་ཅན་ཏེ། གསང་གནས་ནས་སྨིན་མཚམས་ཐིག་ལེ་བརྒྱུད། གཙུག་ཏོར་བར་དུ་བརྟན་པ་ནི་ནམ་མཁའ་མཛོད་ལ་སོགས་པའི་ཏིང་ངེ་འཛིན་བསྒྲུབ་པའི་ཕྱིར་ཕོངས་ལས་གྲོལ་བའོ། འདིས་བདེ་སྟོང་ཏིང་ངེ་འཛིན་གྱི་ཡན་ལག་ཁྱད་ཆོས་དཀར་དམར་གྱི་བགྲོད་པ་སྟེང་འོག་ཏུ་འགགས་ཚུལ་ལོ། ཞེས་སོ། ^0-118
Y	371	26	3	25,	25,26 བཞི་པ་མཐར་ཐུག་མཚན་མེད་རྫོགས་རིམ་ལྟར་ན། འཁོར་བའི་གཟུང་འཛིན་གཉིས་སྣང་གི་སྒྲིབ་པའི་རྒྱུ་རིག་པའི་ཡེ་ཤེས་རང་ངོ་མ་ཤེས་པ་མ་རིག་པ་ས་གཞི་སྐྱོང་བའི་ཚོགས་རྣམས། རིག་པའི་དོན་རྟོགས་པའི་མོད་ལ་རང་སྣང་རྣམ་རྟོག་ཐམས་ཅད་དབང་དུ་བསྡུས་ཤིང་གཞན་སྣང་ཐམས་ཅད་འགུག་པར་ནུས་པའི། རང་བྱུང་རིག་པའི་ཡེ་ཤེས་ཀྱི་རྟོགས་པ་ནང་ནས་རྡོལ་བས་ཧཱུྃ་ཡིག་ཡེ་ཤེས་ལྔའི་རྩལ་འོད་འབར་བས་སྣང་སྲིད་དབང་དུ་འདུ་ཞིང་ཚོགས་ཆེན་ཡེ་རྫོགས་སྲིད་ཞིའི་དབུལ་ཕོངས་ཐམས་ཅད་རྣམ་པར་སེལ་བའི་ནོར་སྟེར་རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མའོ། ཞེས་སོ།  ^0-119
Y	387	28	3	27,	27,28 གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། པདྨ་དང་བའི་སྟེང་ན། བཀྲ་ཤིས་དོན་བྱེད་འཕགས་མ་སྒྲོལ་མ་སྐུ་མདོག་སེར་པོ། ཞབས་གཉིས་རྟ་འབབས་སྐྱིལ་མོ་ཀྲུང་། ཞལ་གཅིག་ཕྱག་གཉིས། ཕྱག་གཡས་མཆོག་སྦྱིན་དང་། གཡོན་དཀོན་མཆོག་གསུམ་མཚོན་ཕྱག་རྒྱའི་མཐེབ་སྲིན་ཨུཏྤལ་ཡུ་བ་འཛིན་པ། སྙན་ཐད་དུ་ཨུཏྤལ་ཟེའུའི་འབྲུའི་སྟེང་། ཕུན་སུམ་ཚོགས་པའི་དཔལ་བེའུ་འོད་ཟེར་འཕྲོ་བ་ཅན་བསྣམས་པ། འཕགས་མའི་སྐུ་དང་དཔལ་བེའུ་དང་ཟླ་ཚེས་དང་འོད་དཔག་མེད་པའི་སྐུ་དེ་ལས་འོད་ཟེར་བཀྲ་ཤིས་རྫས་རྟགས་ཀྱི་ཆར་བབས་པས།བརྟན་གཡོའི་རྟེན་འབྲེལ་ལོག་དུག་ཐམས་ཅད་གཞིལ་ཏེ་སྣོད་བཅུད་ཐམས་ཅད་ཕུན་སུམ་ཚོགས་པར་གྱུར་པར་བསམ་སྟེ་རིག་སྔགས་བཟླའོ། ཞེས་སོ།  ^0-124
Y	391	28	3	27,	27,28 གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ནི། ཟླ་བའི་དུམ་བུས་དབུ་རྒྱན་ནི་བྱང་ཆུབ་ཀྱི་ཐིག་ལེ་དཀར་པོ་སྤྱི་བོར་བརྟན་པའོ། རལ་པའི་ཁྲོད་ན་ནི་ལུས་དང་གྲིབ་མའི་ཚུལ་དུ་སྤྱི་བོར་བརྟན་ཏེ་གནས་པའོ། འོད་དཔག་མེད་ནི་ཐིག་ལེ་དམར་ཆའི་དྭངས་མའོ། རྟག་པར་ཤིན་ཏུ་འོད་རབ་མཛད་མ་དེ་གཉིས་འཕོ་མེད་དྷུ་ཏིར་འཆིངས་ནུས་ན། སྟོང་གཟུགས་འོད་གསལ་ཕྱག་རྒྱ་ཆེན་པོའི་དག་སྣང་གི་དཀྱིལ་འཁོར་གྱི་འཁོར་ལོ་མཐའ་ཡས་པ་འཆར་པར་འགྱུར་ཞེས་སོ།  ^0-125
Y	395	28	3	27,	27,28 བཞི་པ་མཐར་ཐུག་མཚན་མེད་རྫོགས་རིམ་ལྟར་ན། ཟླ་བའི་དུམ་བུའི་དབུ་རྒྱན་ནི་དབང་བཞི་པ་དོན་དམ་ཚིག་དབང་གནས་ལུགས་རྫོགས་པ་ཆེན་པོའི་ཆོས་ཉིད་མངོན་སུམ། བརྒྱན་པ་ཐམས་ཅད་ཤིན་ཏུ་འབར་མ་ནི་ཉམས་སྣང་གོང་འཕེལ། རལ་པའི་ཁྲོད་ན་འོད་དཔག་མེད་པ་ནི། རིག་པ་ཚད་ལ་ཕེབས་པ།རྟག་པར་ཤིན་ཏུ་རབ་མཛད་མ་ནི་ཆོས་ཉིད་ཟད་སར་འཁྱོལ་ཏེ་སྐུ་དང་ཡེ་ཤེས་རྒྱས་པའོ། ཞེས་སོ། ^0-126
Y	413	30	3	29,	29,30 གཉིས་པ་སྤྱི་དོན་བསྐྱེད་རིམ་ལྟར་ན། པདྨ་དང་ཟླ་བའི་གདན་གྱི་སྟེང་དུ་ཡེ་ཤེས་ཀྱི་མེ་ཕུང་འབར་བའི་དབུས་ན། རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་གཡུལ་ལས་རྒྱལ་བྱེད་མདོག་དམར་མོ། ཞབས་གཉིས་རྟ་འབབས་སྐྱིལ་ཀྲུང་། ཞལ་གཅིག་ཕྱག་གཉིས། སྤྱན་གསུམ། ཞལ་ཞི་མ་ཁྲོའི་ཞལ་ཅན། ཕྱག་གཡས་མཆོག་སྦྱིན་དང་།  ^0-132
Y	419	30	3	29,	29,30 གསུམ་པ་སྦས་དོན་རྫོགས་རིམ་མཚན་བཅས་ནི། བསྐལ་པ་ཐ་མའི་མེ་ལྟ་བུ་ནི་དབྱིངས་ཀྱི་རང་གཟུགས་རབ་ཚ་བ་ཡེ་ཤེས་ཀྱི་མེ་ཨ་ཤད་ཙཎྜ་ལཱིའོ། གཡས་བརྐྱངས་གཡོན་བསྐུམ་ཀུན་ནས་བསྐོར་དགའ་ལུས་དང་སྣང་བ་ཀུན་ལ་ཁྱབ་པར་འབྱུང་བའི་རྒྱུ་ནི། ཟླ་བ་རོ་མ་ནི་སྤྱི་བོའི་ཧཾ་ལས་འབབས་པས་ན་གཡས་བརྐྱངས་པའོ། ཉི་མ་རྐྱང་མ་གསང་གནས་ཨ་ལས་འབབས་པ་ན་གཡོན་བསྐུམ་པའོ།  ^0-134
Y	425	30	3	29,	29,30 བཞི་པ་མཐར་ཐུག་མཚན་མེད་རྫོགས་རིམ་ལྟར་ན། བསྐལ་པ་ཐ་མ་མེ་ནི་རིག་སྟོང་རང་བྱུང་མངོན་གྱུར་པས་འཁྲུལ་སྣང་གི་འཛིན་ཞེན་ཐམས་ཅད་ལྷག་མེད་བསྲེགས་ནུས་པའོ། གཡས་བརྐྱངས་གཡོན་བསྐུམ་ཀུན་ནས་བསྐོར་དགའ་ནི་ཐབས་མཁྱེན་པ་དང་བརྩེ་བའི་རྩལ་འབར་བས་ཤེས་རབ་སྟོང་པ་ཉིད་ནང་གསལ་གྱི་ཡེ་ཤེས་འཕོ་བྲལ་བདེ་བ་ཆེན་པོའོ། དགྲ་དཔུང་རྣམ་པར་འཇོམས་མ། ཕྱི་ས་རྡོ། ནང་སྒྱུ་ལུས། གསང་བའི་འཁྲུལ་རྟོག་གཉིས་འཛིན་རེ་དྭོགས་བཅོམ་པའོ། ཞེས་སོ། ^0-136
